namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
Covid2_Reasoning_2020_09_20,32975638eed8b0fc6bbfb762d4e830d4eb53da45f64355a9ef510eacc0e7d97b,84242146-0cc5-4dd2-b45b-601d33baee3b,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",479e040e-e27c-4dd0-9911-47b56a237986,T1.Q1,Does the bold-faced passage contain... (check all that apply):,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,5613b9c7-762d-493f-8144-74d571ba9b4f,T1.Q1.A1,"Estimates of the likelihood/probability or frequency of an event (past, present, or future)",T1.Q2,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Reasoning_2020_09_20,32975638eed8b0fc6bbfb762d4e830d4eb53da45f64355a9ef510eacc0e7d97b,84242146-0cc5-4dd2-b45b-601d33baee3b,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",479e040e-e27c-4dd0-9911-47b56a237986,T1.Q1,Does the bold-faced passage contain... (check all that apply):,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,0769a47d-286d-4341-9216-2e888be31667,T1.Q1.A2,An evaluative judgment (claims about something being good or bad),T1.Q3,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Reasoning_2020_09_20,32975638eed8b0fc6bbfb762d4e830d4eb53da45f64355a9ef510eacc0e7d97b,84242146-0cc5-4dd2-b45b-601d33baee3b,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",479e040e-e27c-4dd0-9911-47b56a237986,T1.Q1,Does the bold-faced passage contain... (check all that apply):,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,4622e6d8-3dff-497b-a1ec-d75d44feceb6,T1.Q1.A3,Other misleading reasoning,T1.Q6,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Reasoning_2020_09_20,32975638eed8b0fc6bbfb762d4e830d4eb53da45f64355a9ef510eacc0e7d97b,84242146-0cc5-4dd2-b45b-601d33baee3b,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",479e040e-e27c-4dd0-9911-47b56a237986,T1.Q1,Does the bold-faced passage contain... (check all that apply):,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,ae315085-45c1-4b03-b3f8-bff71e53c364,T1.Q1.A4,An effective critique of a reasoning error made by someone else,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Reasoning_2020_09_20,32975638eed8b0fc6bbfb762d4e830d4eb53da45f64355a9ef510eacc0e7d97b,84242146-0cc5-4dd2-b45b-601d33baee3b,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",479e040e-e27c-4dd0-9911-47b56a237986,T1.Q1,Does the bold-faced passage contain... (check all that apply):,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,db8fbaca-7449-4be8-9e52-190925be3676,T1.Q1.A5,Arguments or quotes from 2 or more sides,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Reasoning_2020_09_20,32975638eed8b0fc6bbfb762d4e830d4eb53da45f64355a9ef510eacc0e7d97b,84242146-0cc5-4dd2-b45b-601d33baee3b,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",479e040e-e27c-4dd0-9911-47b56a237986,T1.Q1,Does the bold-faced passage contain... (check all that apply):,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,7bb6d4d6-9e73-4b60-abf6-86f81557104a,T1.Q1.A6,None of the above,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Reasoning_2020_09_20,32975638eed8b0fc6bbfb762d4e830d4eb53da45f64355a9ef510eacc0e7d97b,84242146-0cc5-4dd2-b45b-601d33baee3b,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",2c87f38f-621b-42be-9bfe-03e22220186c,T1.Q2,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,755880ba-e7b4-40f2-833a-1cee721252e7,T1.Q2.A1,Availability Heuristic,T1.Q7,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Reasoning_2020_09_20,32975638eed8b0fc6bbfb762d4e830d4eb53da45f64355a9ef510eacc0e7d97b,84242146-0cc5-4dd2-b45b-601d33baee3b,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",2c87f38f-621b-42be-9bfe-03e22220186c,T1.Q2,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,bf9d3d47-09f2-4a8c-91ab-836b353c6340,T1.Q2.A2,Stereotyping,T1.Q7,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Reasoning_2020_09_20,32975638eed8b0fc6bbfb762d4e830d4eb53da45f64355a9ef510eacc0e7d97b,84242146-0cc5-4dd2-b45b-601d33baee3b,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",2c87f38f-621b-42be-9bfe-03e22220186c,T1.Q2,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,fa0237c6-3082-4fb3-a4ad-17563befeeed,T1.Q2.A3,Hindsight Bias,T1.Q7,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Reasoning_2020_09_20,32975638eed8b0fc6bbfb762d4e830d4eb53da45f64355a9ef510eacc0e7d97b,84242146-0cc5-4dd2-b45b-601d33baee3b,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",2c87f38f-621b-42be-9bfe-03e22220186c,T1.Q2,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,68f8e0b6-bcb6-4818-a957-2d405644740f,T1.Q2.A4,Gambler's Fallacy,T1.Q7,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
